Year,Month,Material Number,ProductFamily,Forecast
2017,1,42457,159,150
2017,1,42457,159,144
2017,1,42457,159,80
2017,1,42457,159,64
2017,1,42457,159,6
2017,1,42457,159,4
2017,1,42458,159,1200
2017,1,42458,159,750
2017,1,42458,159,250
2017,1,42458,159,149
2017,1,42458,159,144
2017,1,42458,159,104
2017,1,42458,159,96
2017,1,42458,159,76
2017,1,42458,159,36
2017,1,42459,159,236
2017,1,42459,159,168
2017,1,42459,159,120
2017,1,42459,159,36
2017,1,42459,159,23
2017,1,42459,159,12
2017,1,42459,159,12
2017,1,42459,159,10
2017,1,42459,159,6
2017,1,42459,159,6
2017,1,42460,159,1100
2017,1,42460,159,194
2017,1,42460,159,171
2017,1,42460,159,150
2017,1,42460,159,110
2017,1,42460,159,96
2017,1,42460,159,80
2017,1,42460,159,50
2017,1,42460,159,12
2017,1,42460,159,12
2017,1,42461,159,2600
2017,1,42461,159,1900
2017,1,42461,159,400
2017,1,42461,159,400
2017,1,42461,159,355
2017,1,42461,159,156
2017,1,42461,159,150
2017,1,42461,159,149
2017,1,42461,159,107
2017,1,42461,159,60
2017,1,42461,159,24
2017,1,42461,159,17
2017,1,42462,159,585
2017,1,42462,159,471
2017,1,42462,159,380
2017,1,42462,159,90
2017,1,42462,159,38
2017,1,42462,159,36
2017,1,42462,159,32
2017,1,42462,159,30
2017,1,42462,159,30
2017,1,42462,159,27
2017,1,42462,159,24
2017,1,42462,159,12
2017,1,42462,159,10
2017,1,42463,159,800
2017,1,42463,159,310
2017,1,42463,159,200
2017,1,42463,159,180
2017,1,42463,159,100
2017,1,42463,159,90
2017,1,42463,159,80
2017,1,42463,159,72
2017,1,42463,159,52
2017,1,42463,159,35
2017,1,42463,159,24
2017,1,42463,159,12
2017,1,42464,159,400
2017,1,42464,159,156
2017,1,42464,159,150
2017,1,42464,159,72
2017,1,42464,159,67
2017,1,42464,159,66
2017,1,42464,159,60
2017,1,42464,159,57
2017,1,42464,159,24
2017,1,42465,159,137
2017,1,42465,159,100
2017,1,42465,159,12
2017,1,42465,159,12
2017,1,42465,159,12
2017,1,42465,159,10
2017,1,42465,159,7
2017,1,42465,159,6
2017,1,42466,159,682
2017,1,42466,159,680
2017,1,42466,159,200
2017,1,42466,159,160
2017,1,42466,159,89
2017,1,42466,159,80
2017,1,42466,159,80
2017,1,42466,159,79
2017,1,42466,159,60
2017,1,42466,159,24
2017,1,42466,159,17
2017,1,42467,159,1000
2017,1,42467,159,546
2017,1,42467,159,325
2017,1,42467,159,220
2017,1,42467,159,132
2017,1,42467,159,120
2017,1,42467,159,56
2017,1,42467,159,53
2017,1,42467,159,40
2017,1,42467,159,12
2017,1,42468,159,300
2017,1,42468,159,238
2017,1,42468,159,213
2017,1,42468,159,30
2017,1,42468,159,10
2017,1,42468,159,9
2017,1,42468,159,8
2017,1,42468,159,6
2017,1,42469,161,10910
2017,1,42469,161,10246
2017,1,42469,161,4347
2017,1,42469,161,3800
2017,1,42469,161,3666
2017,1,42469,161,1817
2017,1,42469,161,650
2017,1,42469,161,460
2017,1,42469,161,351
2017,1,42469,161,343
2017,1,42469,161,300
2017,1,42469,161,278
2017,1,42469,161,211
2017,1,42469,161,200
2017,1,42469,161,156
2017,1,42469,161,144
2017,1,42469,161,137
2017,1,42469,161,128
2017,1,42469,161,121
2017,1,42469,161,104
2017,1,42469,161,104
2017,1,42469,161,92
2017,1,42469,161,83
2017,1,42469,161,83
2017,1,42469,161,36
2017,1,42469,161,36
2017,1,42469,161,24
2017,1,42469,161,20
2017,1,42469,161,15
2017,1,42469,161,8
2017,1,42470,161,1370
2017,1,42470,161,294
2017,1,42470,161,288
2017,1,42470,161,273
2017,1,42470,161,200
2017,1,42470,161,200
2017,1,42470,161,200
2017,1,42470,161,124
2017,1,42470,161,106
2017,1,42470,161,100
2017,1,42470,161,60
2017,1,42470,161,36
2017,1,42470,161,24
2017,1,42470,161,24
2017,1,42470,161,19
2017,1,42470,161,16
2017,1,42470,161,10
2017,1,42482,179,23
2017,1,42482,179,2
2017,1,42483,179,2330
2017,1,42483,179,1891
2017,1,42483,179,1800
2017,1,42483,179,370
2017,1,42483,179,247
2017,1,42483,179,72
2017,1,42483,179,61
2017,1,42483,179,61
2017,1,42483,179,55
2017,1,42483,179,44
2017,1,42483,179,38
2017,1,42483,179,14
2017,1,42483,179,12
2017,1,42483,179,11
2017,1,42483,179,11
2017,1,42483,179,8
2017,1,42483,179,7
2017,1,42484,179,24
2017,1,42484,179,12
2017,1,42484,179,6
2017,1,42485,179,1253
2017,1,42485,179,600
2017,1,42485,179,385
2017,1,42485,179,224
2017,1,42485,179,160
2017,1,42485,179,142
2017,1,42485,179,80
2017,1,42485,179,72
2017,1,42485,179,72
2017,1,42485,179,52
2017,1,42485,179,52
2017,1,42485,179,48
2017,1,42485,179,26
2017,1,42485,179,25
2017,1,42485,179,24
2017,1,42485,179,24
2017,1,42485,179,14
2017,1,42485,179,12
2017,1,42485,179,7
2017,1,42485,179,6
2017,1,42516,4,18000
2017,1,42516,4,7980
2017,1,42516,4,1600
2017,1,42516,4,705
2017,1,42516,4,300
2017,1,42516,4,288
2017,1,42516,4,279
2017,1,42516,4,200
2017,1,42516,4,144
2017,1,42516,4,120
2017,1,42516,4,60
2017,1,42516,4,57
2017,1,42516,4,24
2017,1,42516,4,23
2017,1,42517,4,2967
2017,1,42517,4,1500
2017,1,42517,4,520
2017,1,42517,4,504
2017,1,42517,4,163
2017,1,42517,4,144
2017,1,42517,4,144
2017,1,42517,4,97
2017,1,42517,4,61
2017,1,42517,4,24
2017,1,42517,4,24
2017,1,42517,4,23
2017,1,42517,4,19
2017,1,42518,4,10292
2017,1,42518,4,10200
2017,1,42518,4,8000
2017,1,42518,4,3807
2017,1,42518,4,3188
2017,1,42518,4,2368
2017,1,42518,4,2069
2017,1,42518,4,928
2017,1,42518,4,567
2017,1,42518,4,388
2017,1,42518,4,315
2017,1,42518,4,310
2017,1,42518,4,282
2017,1,42518,4,256
2017,1,42518,4,250
2017,1,42518,4,232
2017,1,42518,4,192
2017,1,42518,4,166
2017,1,42518,4,142
2017,1,42518,4,76
2017,1,42518,4,58
2017,1,42518,4,52
2017,1,42518,4,48
2017,1,42518,4,40
2017,1,42518,4,38
2017,1,42518,4,31
2017,1,42518,4,30
2017,1,42518,4,29
2017,1,42518,4,28
2017,1,42518,4,16
2017,1,42518,4,14
2017,1,42518,4,13
2017,1,42561,153,3281
2017,1,42561,153,2600
2017,1,42561,153,1321
2017,1,42561,153,1074
2017,1,42561,153,192
2017,1,42561,153,146
2017,1,42561,153,110
2017,1,42561,153,100
2017,1,42561,153,60
2017,1,42561,153,48
2017,1,42561,153,36
2017,1,42562,153,12
2017,1,42562,153,6
2017,1,42563,153,45670
2017,1,42563,153,12000
2017,1,42563,153,5400
2017,1,42563,153,2000
2017,1,42563,153,923
2017,1,42563,153,918
2017,1,42563,153,100
2017,1,42563,153,36
2017,1,42563,153,36
2017,1,42564,153,18822
2017,1,42564,153,8063
2017,1,42564,153,1800
2017,1,42564,153,1748
2017,1,42564,153,1400
2017,1,42564,153,1300
2017,1,42564,153,881
2017,1,42564,153,861
2017,1,42564,153,760
2017,1,42564,153,500
2017,1,42564,153,500
2017,1,42564,153,480
2017,1,42564,153,434
2017,1,42564,153,315
2017,1,42564,153,300
2017,1,42564,153,250
2017,1,42564,153,250
2017,1,42564,153,232
2017,1,42564,153,199
2017,1,42564,153,180
2017,1,42564,153,172
2017,1,42564,153,140
2017,1,42564,153,113
2017,1,42564,153,110
2017,1,42564,153,96
2017,1,42564,153,78
2017,1,42564,153,72
2017,1,42564,153,56
2017,1,42564,153,48
2017,1,42564,153,33
2017,1,42564,153,24
2017,1,42564,153,12
2017,1,42565,153,350000
2017,1,42565,153,29000
2017,1,42565,153,18500
2017,1,42565,153,4605
2017,1,42565,153,3312
2017,1,42565,153,1423
2017,1,42565,153,585
2017,1,42565,153,400
2017,1,42565,153,200
2017,1,42566,153,3710
2017,1,42566,153,3206
2017,1,42566,153,1152
2017,1,42566,153,840
2017,1,42566,153,628
2017,1,42566,153,540
2017,1,42566,153,450
2017,1,42566,153,440
2017,1,42566,153,432
2017,1,42566,153,198
2017,1,42566,153,180
2017,1,42566,153,110
2017,1,42566,153,96
2017,1,42566,153,83
2017,1,42566,153,48
2017,1,42566,153,12
2017,1,42567,182,18087
2017,1,42567,182,8559
2017,1,42567,182,8472
2017,1,42567,182,5118
2017,1,42567,182,1887
2017,1,42567,182,1784
2017,1,42567,182,1438
2017,1,42567,182,1154
2017,1,42567,182,800
2017,1,42567,182,720
2017,1,42567,182,623
2017,1,42567,182,602
2017,1,42567,182,432
2017,1,42567,182,408
2017,1,42567,182,357
2017,1,42567,182,325
2017,1,42567,182,299
2017,1,42567,182,261
2017,1,42567,182,252
2017,1,42567,182,229
2017,1,42567,182,221
2017,1,42567,182,190
2017,1,42567,182,184
2017,1,42567,182,164
2017,1,42567,182,161
2017,1,42567,182,131
2017,1,42567,182,120
2017,1,42567,182,96
2017,1,42567,182,90
2017,1,42567,182,60
2017,1,42567,182,60
2017,1,42567,182,49
2017,1,42567,182,35
2017,1,42567,182,35
2017,1,42567,182,27
2017,1,42567,182,26
2017,1,42567,182,21
2017,1,42567,182,12
2017,1,42569,182,3126
2017,1,42569,182,2050
2017,1,42569,182,1401
2017,1,42569,182,1391
2017,1,42569,182,506
2017,1,42569,182,463
2017,1,42569,182,340
2017,1,42569,182,286
2017,1,42569,182,242
2017,1,42569,182,240
2017,1,42569,182,188
2017,1,42569,182,153
2017,1,42569,182,137
2017,1,42569,182,122
2017,1,42569,182,84
2017,1,42569,182,77
2017,1,42569,182,59
2017,1,42569,182,58
2017,1,42569,182,58
2017,1,42569,182,58
2017,1,42569,182,57
2017,1,42569,182,49
2017,1,42569,182,39
2017,1,42569,182,35
2017,1,42569,182,33
2017,1,42569,182,32
2017,1,42569,182,24
2017,1,42569,182,24
2017,1,42569,182,22
2017,1,42569,182,21
2017,1,42569,182,15
2017,1,42569,182,8
2017,1,42569,182,8
2017,1,42571,182,700
2017,1,42571,182,619
2017,1,42571,182,615
2017,1,42571,182,489
2017,1,42571,182,384
2017,1,42571,182,135
2017,1,42571,182,120
2017,1,42571,182,100
2017,1,42571,182,92
2017,1,42571,182,88
2017,1,42571,182,75
2017,1,42571,182,73
2017,1,42571,182,63
2017,1,42571,182,34
2017,1,42571,182,25
2017,1,42571,182,24
2017,1,42571,182,23
2017,1,42571,182,20
2017,1,42571,182,20
2017,1,42571,182,13
2017,1,42571,182,11
2017,1,42571,182,10
2017,1,42571,182,4
2017,1,42573,182,182
2017,1,42573,182,140
2017,1,42573,182,100
2017,1,42573,182,95
2017,1,42573,182,68
2017,1,42573,182,26
2017,1,42573,182,12
2017,1,42573,182,12
2017,1,42573,182,10
2017,1,42573,182,6
2017,1,42573,182,2
2017,1,42573,182,1
2017,1,42575,182,2838
2017,1,42575,182,1200
2017,1,42575,182,907
2017,1,42575,182,374
2017,1,42575,182,350
2017,1,42575,182,170
2017,1,42575,182,120
2017,1,42575,182,72
2017,1,42575,182,61
2017,1,42575,182,51
2017,1,42575,182,19
2017,1,42575,182,16
2017,1,42575,182,12
2017,1,42575,182,4
2017,1,42577,182,1400
2017,1,42577,182,400
2017,1,42577,182,335
2017,1,42577,182,170
2017,1,42577,182,165
2017,1,42577,182,62
2017,1,42577,182,48
2017,1,42577,182,44
2017,1,42577,182,24
2017,1,42577,182,20
2017,1,42579,182,420
2017,1,42579,182,120
2017,1,42579,182,98
2017,1,42579,182,48
2017,1,42579,182,45
2017,1,42579,182,39
2017,1,42579,182,12
2017,1,42579,182,12
2017,1,42579,182,11
2017,1,42581,218,5000
2017,1,42581,218,1414
2017,1,42581,218,1350
2017,1,42581,218,998
2017,1,42581,218,810
2017,1,42581,218,650
2017,1,42581,218,228
2017,1,42581,218,198
2017,1,42581,218,75
2017,1,42581,218,36
2017,1,42581,218,13
2017,1,42582,218,4700
2017,1,42582,218,1450
2017,1,42582,218,1209
2017,1,42582,218,800
2017,1,42582,218,720
2017,1,42582,218,298
2017,1,42582,218,178
2017,1,42582,218,60
2017,1,42582,218,19
2017,1,42582,218,15
2017,1,42582,218,12
2017,1,42583,218,15000
2017,1,42583,218,8187
2017,1,42583,218,536
2017,1,42583,218,320
2017,1,42583,218,226
2017,1,42583,218,90
2017,1,42583,218,60
2017,1,42583,218,36
2017,1,42583,218,24
2017,1,42583,218,12
2017,1,42585,218,9000
2017,1,42585,218,700
2017,1,42585,218,213
2017,1,42585,218,158
2017,1,42585,218,150
2017,1,42585,218,30
2017,1,42585,218,12
2017,1,42585,218,11
2017,1,42585,218,10
2017,1,42586,218,12000
2017,1,42586,218,8710
2017,1,42586,218,1600
2017,1,42586,218,685
2017,1,42586,218,409
2017,1,42586,218,192
2017,1,42586,218,72
2017,1,42586,218,36
2017,1,42586,218,36
2017,1,42586,218,24
2017,1,42586,218,18
2017,1,42588,218,17000
2017,1,42588,218,950
2017,1,42588,218,580
2017,1,42588,218,209
2017,1,42588,218,145
2017,1,42588,218,142
2017,1,42588,218,133
2017,1,42588,218,58
2017,1,42588,218,43
2017,1,42588,218,24
2017,1,42588,218,22
2017,1,42588,218,18
2017,1,42588,218,12
2017,1,42588,218,10
2017,1,42588,218,7
2017,1,42588,218,5
2017,1,42589,217,13000
2017,1,42589,217,6800
2017,1,42589,217,6735
2017,1,42589,217,5800
2017,1,42589,217,5480
2017,1,42589,217,2519
2017,1,42589,217,1494
2017,1,42589,217,719
2017,1,42589,217,664
2017,1,42589,217,631
2017,1,42589,217,582
2017,1,42589,217,454
2017,1,42589,217,347
2017,1,42589,217,328
2017,1,42589,217,324
2017,1,42589,217,302
2017,1,42589,217,250
2017,1,42589,217,228
2017,1,42589,217,217
2017,1,42589,217,195
2017,1,42589,217,177
2017,1,42589,217,170
2017,1,42589,217,167
2017,1,42589,217,155
2017,1,42589,217,122
2017,1,42589,217,84
2017,1,42589,217,78
2017,1,42589,217,75
2017,1,42589,217,64
2017,1,42589,217,48
2017,1,42589,217,30
2017,1,42589,217,18
2017,1,42591,217,11200
2017,1,42591,217,5940
2017,1,42591,217,5066
2017,1,42591,217,4967
2017,1,42591,217,4781
2017,1,42591,217,2457
2017,1,42591,217,1422
2017,1,42591,217,710
2017,1,42591,217,691
2017,1,42591,217,666
2017,1,42591,217,415
2017,1,42591,217,317
2017,1,42591,217,314
2017,1,42591,217,280
2017,1,42591,217,267
2017,1,42591,217,219
2017,1,42591,217,167
2017,1,42591,217,152
2017,1,42591,217,136
2017,1,42591,217,129
2017,1,42591,217,126
2017,1,42591,217,108
2017,1,42591,217,82
2017,1,42591,217,65
2017,1,42591,217,60
2017,1,42591,217,51
2017,1,42591,217,48
2017,1,42591,217,30
2017,1,42591,217,14
2017,1,42591,217,12
2017,1,42613,72,3610
2017,1,42613,72,2808
2017,1,42613,72,2700
2017,1,42613,72,2400
2017,1,42613,72,1280
2017,1,42613,72,1008
2017,1,42613,72,546
2017,1,42613,72,298
2017,1,42613,72,260
2017,1,42613,72,152
2017,1,42613,72,144
2017,1,42613,72,144
2017,1,42613,72,133
2017,1,42613,72,130
2017,1,42613,72,114
2017,1,42613,72,113
2017,1,42613,72,104
2017,1,42613,72,100
2017,1,42613,72,96
2017,1,42613,72,72
2017,1,42613,72,72
2017,1,42613,72,60
2017,1,42613,72,60
2017,1,42613,72,37
2017,1,42613,72,36
2017,1,42613,72,25
2017,1,42613,72,24
2017,1,42613,72,24
2017,1,42613,72,19
2017,1,42613,72,14
2017,1,42613,72,12
2017,1,42613,72,12
2017,1,42615,72,3712
2017,1,42615,72,731
2017,1,42615,72,588
2017,1,42615,72,480
2017,1,42615,72,452
2017,1,42615,72,360
2017,1,42615,72,246
2017,1,42615,72,175
2017,1,42615,72,110
2017,1,42615,72,105
2017,1,42615,72,96
2017,1,42615,72,72
2017,1,42615,72,63
2017,1,42615,72,63
2017,1,42615,72,50
2017,1,42615,72,48
2017,1,42615,72,36
2017,1,42615,72,25
2017,1,42615,72,24
2017,1,42615,72,24
2017,1,42615,72,24
2017,1,42615,72,10
2017,1,42615,72,8
2017,1,42615,72,8
2017,1,42615,72,4
2017,1,42615,72,2
2017,1,42620,117,2928
2017,1,42620,117,800
2017,1,42620,117,432
2017,1,42620,117,380
2017,1,42620,117,114
2017,1,42620,117,89
2017,1,42624,28,28535
2017,1,42624,28,8000
2017,1,42624,28,6432
2017,1,42624,28,724
2017,1,42624,28,350
2017,1,42624,28,300
2017,1,42624,28,185
2017,1,42624,28,151
2017,1,42624,28,122
2017,1,42624,28,86
2017,1,42624,28,12
2017,1,42625,28,887
2017,1,42625,28,187
2017,1,42625,28,182
2017,1,42625,28,130
2017,1,42625,28,71
2017,1,42625,28,71
2017,1,42625,28,62
2017,1,42625,28,43
2017,1,42625,28,36
2017,1,42625,28,30
2017,1,42625,28,30
2017,1,42625,28,20
2017,1,42625,28,10
2017,1,42646,67,3335
2017,1,42646,67,1757
2017,1,42646,67,941
2017,1,42646,67,250
2017,1,42646,67,238
2017,1,42646,67,217
2017,1,42646,67,180
2017,1,42646,67,126
2017,1,42646,67,125
2017,1,42646,67,91
2017,1,42646,67,90
2017,1,42646,67,86
2017,1,42646,67,84
2017,1,42646,67,73
2017,1,42646,67,49
2017,1,42646,67,48
2017,1,42646,67,46
2017,1,42646,67,36
2017,1,42646,67,30
2017,1,42646,67,30
2017,1,42646,67,20
2017,1,42646,67,17
2017,1,42646,67,6
2017,1,42646,67,4
2017,1,42647,67,5206
2017,1,42647,67,2458
2017,1,42647,67,2424
2017,1,42647,67,665
2017,1,42647,67,564
2017,1,42647,67,550
2017,1,42647,67,423
2017,1,42647,67,345
2017,1,42647,67,282
2017,1,42647,67,275
2017,1,42647,67,275
2017,1,42647,67,272
2017,1,42647,67,211
2017,1,42647,67,172
2017,1,42647,67,150
2017,1,42647,67,111
2017,1,42647,67,96
2017,1,42647,67,84
2017,1,42647,67,80
2017,1,42647,67,66
2017,1,42647,67,56
2017,1,42647,67,36
2017,1,42647,67,32
2017,1,42647,67,31
2017,1,42647,67,28
2017,1,42647,67,23
2017,1,42647,67,12
2017,1,42647,67,12
2017,1,42648,67,6801
2017,1,42648,67,3983
2017,1,42648,67,2964
2017,1,42648,67,970
2017,1,42648,67,707
2017,1,42648,67,645
2017,1,42648,67,539
2017,1,42648,67,529
2017,1,42648,67,440
2017,1,42648,67,399
2017,1,42648,67,397
2017,1,42648,67,375
2017,1,42648,67,340
2017,1,42648,67,318
2017,1,42648,67,230
2017,1,42648,67,144
2017,1,42648,67,136
2017,1,42648,67,125
2017,1,42648,67,119
2017,1,42648,67,96
2017,1,42648,67,72
2017,1,42648,67,69
2017,1,42648,67,48
2017,1,42648,67,32
2017,1,42648,67,29
2017,1,42648,67,24
2017,1,42648,67,22
2017,1,42648,67,12
2017,1,42649,67,3562
2017,1,42649,67,1966
2017,1,42649,67,1511
2017,1,42649,67,426
2017,1,42649,67,385
2017,1,42649,67,375
2017,1,42649,67,249
2017,1,42649,67,241
2017,1,42649,67,226
2017,1,42649,67,221
2017,1,42649,67,203
2017,1,42649,67,195
2017,1,42649,67,170
2017,1,42649,67,156
2017,1,42649,67,142
2017,1,42649,67,128
2017,1,42649,67,62
2017,1,42649,67,60
2017,1,42649,67,48
2017,1,42649,67,33
2017,1,42649,67,32
2017,1,42649,67,28
2017,1,42649,67,18
2017,1,42649,67,14
2017,1,42649,67,3
2017,1,42654,90,641
2017,1,42654,90,500
2017,1,42654,90,360
2017,1,42654,90,267
2017,1,42654,90,242
2017,1,42654,90,12
2017,1,42655,90,350
2017,1,42655,90,200
2017,1,42655,90,200
2017,1,42655,90,167
2017,1,42655,90,96
2017,1,42655,90,92
2017,1,42655,90,24
2017,1,42655,90,17
2017,1,42655,90,6
2017,1,42657,90,2500
2017,1,42657,90,1400
2017,1,42657,90,1293
2017,1,42657,90,900
2017,1,42657,90,400
2017,1,42657,90,100
2017,1,42658,90,1500
2017,1,42658,90,1213
2017,1,42658,90,1200
2017,1,42658,90,1065
2017,1,42658,90,600
2017,1,42658,90,483
2017,1,42658,90,208
2017,1,42658,90,168
2017,1,42658,90,167
2017,1,42658,90,108
2017,1,42658,90,108
2017,1,42658,90,100
2017,1,42660,90,25947
2017,1,42660,90,1000
2017,1,42660,90,800
2017,1,42660,90,663
2017,1,42660,90,550
2017,1,42660,90,100
2017,1,42660,90,78
2017,1,42660,90,60
2017,1,42660,90,48
2017,1,42660,90,45
2017,1,42660,90,32
2017,1,42661,90,1152
2017,1,42661,90,600
2017,1,42661,90,424
2017,1,42661,90,152
2017,1,42661,90,150
2017,1,42661,90,84
2017,1,42661,90,83
2017,1,42661,90,72
2017,1,42661,90,67
2017,1,42661,90,60
2017,1,42661,90,48
2017,1,42661,90,16
2017,1,43658,83,8240
2017,1,43658,83,384
2017,1,43658,83,381
2017,1,43658,83,310
2017,1,43658,83,288
2017,1,43658,83,175
2017,1,43658,83,148
2017,1,43658,83,144
2017,1,43658,83,108
2017,1,43658,83,104
2017,1,43658,83,74
2017,1,43658,83,61
2017,1,43658,83,60
2017,1,43658,83,54
2017,1,43658,83,29
2017,1,43658,83,13
2017,1,43658,83,7
2017,1,43986,232,95340
2017,1,43986,232,65000
2017,1,43986,232,35000
2017,1,43986,232,24672
2017,1,43986,232,3000
